,0,1,2,3,ENST,5,6,7,8,PhyloP
48,11,31789981,31789982,P26367,ENST00000241001,-,11,31789981,31789982,4.707
49,11,31789982,31789983,P26367,ENST00000241001,-,11,31789982,31789983,6.318
50,11,31789983,31789984,P26367,ENST00000241001,-,11,31789983,31789984,8.878
51,11,31789984,31789985,P26367,ENST00000241001,-,11,31789984,31789985,2.987
52,11,31789985,31789986,P26367,ENST00000241001,-,11,31789985,31789986,6.343
53,11,31789986,31789987,P26367,ENST00000241001,-,11,31789986,31789987,8.772
54,11,31789987,31789988,P26367,ENST00000241001,-,11,31789987,31789988,0.66
55,11,31789988,31789989,P26367,ENST00000241001,-,11,31789988,31789989,6.318
56,11,31789989,31789990,P26367,ENST00000241001,-,11,31789989,31789990,8.898
57,11,31789990,31789991,P26367,ENST00000241001,-,11,31789990,31789991,-0.186
58,11,31789991,31789992,P26367,ENST00000241001,-,11,31789991,31789992,8.791
59,11,31789992,31789993,P26367,ENST00000241001,-,11,31789992,31789993,8.791
60,11,31789993,31789994,P26367,ENST00000241001,-,11,31789993,31789994,2.947
61,11,31789994,31789995,P26367,ENST00000241001,-,11,31789994,31789995,6.331
62,11,31789995,31789996,P26367,ENST00000241001,-,11,31789995,31789996,8.898
63,11,31789996,31789997,P26367,ENST00000241001,-,11,31789996,31789997,1.534
64,11,31789997,31789998,P26367,ENST00000241001,-,11,31789997,31789998,8.791
65,11,31789998,31789999,P26367,ENST00000241001,-,11,31789998,31789999,6.331
66,11,31789999,31790000,P26367,ENST00000241001,-,11,31789999,31790000,3.006
67,11,31790000,31790001,P26367,ENST00000241001,-,11,31790000,31790001,6.331
68,11,31790001,31790002,P26367,ENST00000241001,-,11,31790001,31790002,8.898
69,11,31790002,31790003,P26367,ENST00000241001,-,11,31790002,31790003,-0.01
70,11,31790003,31790004,P26367,ENST00000241001,-,11,31790003,31790004,8.898
71,11,31790004,31790005,P26367,ENST00000241001,-,11,31790004,31790005,8.898
72,11,31790005,31790006,P26367,ENST00000241001,-,11,31790005,31790006,-0.037
73,11,31790006,31790007,P26367,ENST00000241001,-,11,31790006,31790007,8.791
74,11,31790007,31790008,P26367,ENST00000241001,-,11,31790007,31790008,8.791
75,11,31790008,31790009,P26367,ENST00000241001,-,11,31790008,31790009,3.841
76,11,31790009,31790010,P26367,ENST00000241001,-,11,31790009,31790010,8.791
77,11,31790010,31790011,P26367,ENST00000241001,-,11,31790010,31790011,6.331
78,11,31790011,31790012,P26367,ENST00000241001,-,11,31790011,31790012,4.716
79,11,31790012,31790013,P26367,ENST00000241001,-,11,31790012,31790013,6.331
80,11,31790013,31790014,P26367,ENST00000241001,-,11,31790013,31790014,6.357
81,11,31790014,31790015,P26367,ENST00000241001,-,11,31790014,31790015,3.437
82,11,31790015,31790016,P26367,ENST00000241001,-,11,31790015,31790016,6.331
83,11,31790016,31790017,P26367,ENST00000241001,-,11,31790016,31790017,8.791
84,11,31790017,31790018,P26367,ENST00000241001,-,11,31790017,31790018,1.547
85,11,31790018,31790019,P26367,ENST00000241001,-,11,31790018,31790019,8.898
86,11,31790709,31790710,P26367,ENST00000241001,-,11,31790709,31790710,8.901
87,11,31790710,31790711,P26367,ENST00000241001,-,11,31790710,31790711,2.983
88,11,31790711,31790712,P26367,ENST00000241001,-,11,31790711,31790712,8.794
89,11,31790712,31790713,P26367,ENST00000241001,-,11,31790712,31790713,6.359
90,11,31790713,31790714,P26367,ENST00000241001,-,11,31790713,31790714,0.569
91,11,31790714,31790715,P26367,ENST00000241001,-,11,31790714,31790715,8.794
92,11,31790715,31790716,P26367,ENST00000241001,-,11,31790715,31790716,6.333
93,11,31790716,31790717,P26367,ENST00000241001,-,11,31790716,31790717,0.589
94,11,31790717,31790718,P26367,ENST00000241001,-,11,31790717,31790718,8.794
95,11,31790718,31790719,P26367,ENST00000241001,-,11,31790718,31790719,2.95
96,11,31790719,31790720,P26367,ENST00000241001,-,11,31790719,31790720,3.522
97,11,31790720,31790721,P26367,ENST00000241001,-,11,31790720,31790721,8.794
98,11,31790721,31790722,P26367,ENST00000241001,-,11,31790721,31790722,0.373
99,11,31790722,31790723,P26367,ENST00000241001,-,11,31790722,31790723,0.974
100,11,31790723,31790724,P26367,ENST00000241001,-,11,31790723,31790724,8.901
101,11,31790724,31790725,P26367,ENST00000241001,-,11,31790724,31790725,8.901
102,11,31790725,31790726,P26367,ENST00000241001,-,11,31790725,31790726,1.068
103,11,31790726,31790727,P26367,ENST00000241001,-,11,31790726,31790727,8.794
104,11,31790727,31790728,P26367,ENST00000241001,-,11,31790727,31790728,2.877
105,11,31790728,31790729,P26367,ENST00000241001,-,11,31790728,31790729,5.873
106,11,31790729,31790730,P26367,ENST00000241001,-,11,31790729,31790730,8.794
107,11,31790730,31790731,P26367,ENST00000241001,-,11,31790730,31790731,1.045
108,11,31790731,31790732,P26367,ENST00000241001,-,11,31790731,31790732,1.93
109,11,31790732,31790733,P26367,ENST00000241001,-,11,31790732,31790733,8.901
110,11,31790733,31790734,P26367,ENST00000241001,-,11,31790733,31790734,8.901
111,11,31790734,31790735,P26367,ENST00000241001,-,11,31790734,31790735,8.901
112,11,31790735,31790736,P26367,ENST00000241001,-,11,31790735,31790736,6.333
113,11,31790736,31790737,P26367,ENST00000241001,-,11,31790736,31790737,6.359
114,11,31790737,31790738,P26367,ENST00000241001,-,11,31790737,31790738,-1.833
115,11,31790738,31790739,P26367,ENST00000241001,-,11,31790738,31790739,8.794
116,11,31790739,31790740,P26367,ENST00000241001,-,11,31790739,31790740,5.859
117,11,31790740,31790741,P26367,ENST00000241001,-,11,31790740,31790741,4.984
118,11,31790741,31790742,P26367,ENST00000241001,-,11,31790741,31790742,6.359
119,11,31790742,31790743,P26367,ENST00000241001,-,11,31790742,31790743,8.794
120,11,31790743,31790744,P26367,ENST00000241001,-,11,31790743,31790744,0.262
121,11,31790744,31790745,P26367,ENST00000241001,-,11,31790744,31790745,7.13
122,11,31790745,31790746,P26367,ENST00000241001,-,11,31790745,31790746,6.359
123,11,31790746,31790747,P26367,ENST00000241001,-,11,31790746,31790747,3.298
124,11,31790747,31790748,P26367,ENST00000241001,-,11,31790747,31790748,2.982
125,11,31790748,31790749,P26367,ENST00000241001,-,11,31790748,31790749,6.359
126,11,31790749,31790750,P26367,ENST00000241001,-,11,31790749,31790750,8.901
127,11,31790750,31790751,P26367,ENST00000241001,-,11,31790750,31790751,6.333
128,11,31790751,31790752,P26367,ENST00000241001,-,11,31790751,31790752,6.358
129,11,31790752,31790753,P26367,ENST00000241001,-,11,31790752,31790753,4.196
130,11,31790753,31790754,P26367,ENST00000241001,-,11,31790753,31790754,6.358
131,11,31790754,31790755,P26367,ENST00000241001,-,11,31790754,31790755,8.793
132,11,31790755,31790756,P26367,ENST00000241001,-,11,31790755,31790756,0.375
133,11,31790756,31790757,P26367,ENST00000241001,-,11,31790756,31790757,8.793
134,11,31790757,31790758,P26367,ENST00000241001,-,11,31790757,31790758,6.358
135,11,31790758,31790759,P26367,ENST00000241001,-,11,31790758,31790759,5.645
136,11,31790759,31790760,P26367,ENST00000241001,-,11,31790759,31790760,6.358
137,11,31790760,31790761,P26367,ENST00000241001,-,11,31790760,31790761,8.793
138,11,31790761,31790762,P26367,ENST00000241001,-,11,31790761,31790762,8.9
139,11,31790762,31790763,P26367,ENST00000241001,-,11,31790762,31790763,6.333
140,11,31790763,31790764,P26367,ENST00000241001,-,11,31790763,31790764,6.358
141,11,31790764,31790765,P26367,ENST00000241001,-,11,31790764,31790765,-0.195
142,11,31790765,31790766,P26367,ENST00000241001,-,11,31790765,31790766,6.358
143,11,31790766,31790767,P26367,ENST00000241001,-,11,31790766,31790767,8.793
144,11,31790767,31790768,P26367,ENST00000241001,-,11,31790767,31790768,-3.046
145,11,31790768,31790769,P26367,ENST00000241001,-,11,31790768,31790769,8.793
146,11,31790769,31790770,P26367,ENST00000241001,-,11,31790769,31790770,8.793
147,11,31790770,31790771,P26367,ENST00000241001,-,11,31790770,31790771,-0.643
148,11,31790771,31790772,P26367,ENST00000241001,-,11,31790771,31790772,8.793
149,11,31790772,31790773,P26367,ENST00000241001,-,11,31790772,31790773,8.793
150,11,31790773,31790774,P26367,ENST00000241001,-,11,31790773,31790774,-3.562
151,11,31790774,31790775,P26367,ENST00000241001,-,11,31790774,31790775,8.793
152,11,31790775,31790776,P26367,ENST00000241001,-,11,31790775,31790776,6.358
153,11,31790776,31790777,P26367,ENST00000241001,-,11,31790776,31790777,0.577
154,11,31790777,31790778,P26367,ENST00000241001,-,11,31790777,31790778,6.358
155,11,31790778,31790779,P26367,ENST00000241001,-,11,31790778,31790779,6.333
156,11,31790779,31790780,P26367,ENST00000241001,-,11,31790779,31790780,3.522
157,11,31790780,31790781,P26367,ENST00000241001,-,11,31790780,31790781,8.793
158,11,31790781,31790782,P26367,ENST00000241001,-,11,31790781,31790782,1.856
159,11,31790782,31790783,P26367,ENST00000241001,-,11,31790782,31790783,-4.353
160,11,31790783,31790784,P26367,ENST00000241001,-,11,31790783,31790784,6.358
161,11,31790784,31790785,P26367,ENST00000241001,-,11,31790784,31790785,8.9
162,11,31790785,31790786,P26367,ENST00000241001,-,11,31790785,31790786,-3.561
163,11,31790786,31790787,P26367,ENST00000241001,-,11,31790786,31790787,6.358
164,11,31790787,31790788,P26367,ENST00000241001,-,11,31790787,31790788,6.333
165,11,31790788,31790789,P26367,ENST00000241001,-,11,31790788,31790789,0.523
166,11,31790789,31790790,P26367,ENST00000241001,-,11,31790789,31790790,7.097
167,11,31790790,31790791,P26367,ENST00000241001,-,11,31790790,31790791,6.358
168,11,31790791,31790792,P26367,ENST00000241001,-,11,31790791,31790792,5.977
169,11,31790792,31790793,P26367,ENST00000241001,-,11,31790792,31790793,8.9
170,11,31790793,31790794,P26367,ENST00000241001,-,11,31790793,31790794,4.881
171,11,31790794,31790795,P26367,ENST00000241001,-,11,31790794,31790795,2.202
172,11,31790795,31790796,P26367,ENST00000241001,-,11,31790795,31790796,8.901
173,11,31790796,31790797,P26367,ENST00000241001,-,11,31790796,31790797,8.901
174,11,31790797,31790798,P26367,ENST00000241001,-,11,31790797,31790798,-2.119
175,11,31790798,31790799,P26367,ENST00000241001,-,11,31790798,31790799,6.359
176,11,31790799,31790800,P26367,ENST00000241001,-,11,31790799,31790800,6.359
177,11,31790800,31790801,P26367,ENST00000241001,-,11,31790800,31790801,2.883
178,11,31790801,31790802,P26367,ENST00000241001,-,11,31790801,31790802,6.333
179,11,31790802,31790803,P26367,ENST00000241001,-,11,31790802,31790803,8.901
180,11,31790803,31790804,P26367,ENST00000241001,-,11,31790803,31790804,-1.043
181,11,31790804,31790805,P26367,ENST00000241001,-,11,31790804,31790805,8.794
182,11,31790805,31790806,P26367,ENST00000241001,-,11,31790805,31790806,6.333
183,11,31790806,31790807,P26367,ENST00000241001,-,11,31790806,31790807,-2.6
184,11,31790807,31790808,P26367,ENST00000241001,-,11,31790807,31790808,8.794
185,11,31790808,31790809,P26367,ENST00000241001,-,11,31790808,31790809,8.794
186,11,31790809,31790810,P26367,ENST00000241001,-,11,31790809,31790810,4.743
187,11,31790810,31790811,P26367,ENST00000241001,-,11,31790810,31790811,8.901
188,11,31790811,31790812,P26367,ENST00000241001,-,11,31790811,31790812,6.359
189,11,31790812,31790813,P26367,ENST00000241001,-,11,31790812,31790813,4.881
190,11,31790813,31790814,P26367,ENST00000241001,-,11,31790813,31790814,5.873
191,11,31790814,31790815,P26367,ENST00000241001,-,11,31790814,31790815,6.359
192,11,31790815,31790816,P26367,ENST00000241001,-,11,31790815,31790816,1.866
193,11,31790816,31790817,P26367,ENST00000241001,-,11,31790816,31790817,8.794
194,11,31790817,31790818,P26367,ENST00000241001,-,11,31790817,31790818,8.794
195,11,31790818,31790819,P26367,ENST00000241001,-,11,31790818,31790819,7.04
196,11,31790819,31790820,P26367,ENST00000241001,-,11,31790819,31790820,6.333
197,11,31790820,31790821,P26367,ENST00000241001,-,11,31790820,31790821,3.473
198,11,31790821,31790822,P26367,ENST00000241001,-,11,31790821,31790822,8.901
199,11,31790822,31790823,P26367,ENST00000241001,-,11,31790822,31790823,6.333
200,11,31790823,31790824,P26367,ENST00000241001,-,11,31790823,31790824,6.359
201,11,31790824,31790825,P26367,ENST00000241001,-,11,31790824,31790825,6.96
202,11,31790825,31790826,P26367,ENST00000241001,-,11,31790825,31790826,8.901
203,11,31790826,31790827,P26367,ENST00000241001,-,11,31790826,31790827,6.333
204,11,31790827,31790828,P26367,ENST00000241001,-,11,31790827,31790828,4.12
205,11,31790828,31790829,P26367,ENST00000241001,-,11,31790828,31790829,8.794
206,11,31790829,31790830,P26367,ENST00000241001,-,11,31790829,31790830,6.333
207,11,31790830,31790831,P26367,ENST00000241001,-,11,31790830,31790831,2.919
208,11,31790831,31790832,P26367,ENST00000241001,-,11,31790831,31790832,6.359
209,11,31790832,31790833,P26367,ENST00000241001,-,11,31790832,31790833,6.333
210,11,31790833,31790834,P26367,ENST00000241001,-,11,31790833,31790834,-3.173
211,11,31790834,31790835,P26367,ENST00000241001,-,11,31790834,31790835,8.783
212,11,31790835,31790836,P26367,ENST00000241001,-,11,31790835,31790836,4.734
213,11,31790836,31790837,P26367,ENST00000241001,-,11,31790836,31790837,0.966
214,11,31790837,31790838,P26367,ENST00000241001,-,11,31790837,31790838,8.783
215,11,31790838,31790839,P26367,ENST00000241001,-,11,31790838,31790839,6.326
216,11,31790839,31790840,P26367,ENST00000241001,-,11,31790839,31790840,2.825
217,11,31790840,31790841,P26367,ENST00000241001,-,11,31790840,31790841,8.783
218,11,31790841,31790842,P26367,ENST00000241001,-,11,31790841,31790842,6.351
219,11,31790842,31790843,P26367,ENST00000241001,-,11,31790842,31790843,8.89
220,11,31790843,31790844,P26367,ENST00000241001,-,11,31790843,31790844,6.351
221,11,31790844,31790845,P26367,ENST00000241001,-,11,31790844,31790845,8.783
222,11,31790845,31790846,P26367,ENST00000241001,-,11,31790845,31790846,2.383
223,11,31790846,31790847,P26367,ENST00000241001,-,11,31790846,31790847,8.89
224,11,31790847,31790848,P26367,ENST00000241001,-,11,31790847,31790848,6.351
225,11,31790848,31790849,P26367,ENST00000241001,-,11,31790848,31790849,4.139
226,11,31790849,31790850,P26367,ENST00000241001,-,11,31790849,31790850,8.783
227,11,31790850,31790851,P26367,ENST00000241001,-,11,31790850,31790851,8.783
228,11,31790851,31790852,P26367,ENST00000241001,-,11,31790851,31790852,3.503
229,11,31790852,31790853,P26367,ENST00000241001,-,11,31790852,31790853,6.326
230,11,31790853,31790854,P26367,ENST00000241001,-,11,31790853,31790854,8.89
231,11,31790854,31790855,P26367,ENST00000241001,-,11,31790854,31790855,-5.063
232,11,31790855,31790856,P26367,ENST00000241001,-,11,31790855,31790856,8.783
233,11,31790856,31790857,P26367,ENST00000241001,-,11,31790856,31790857,8.783
234,11,31790857,31790858,P26367,ENST00000241001,-,11,31790857,31790858,2.006
235,11,31790858,31790859,P26367,ENST00000241001,-,11,31790858,31790859,8.783
236,11,31790859,31790860,P26367,ENST00000241001,-,11,31790859,31790860,4.122
237,11,31793437,31793438,P26367,ENST00000241001,-,11,31793437,31793438,3.149
238,11,31793438,31793439,P26367,ENST00000241001,-,11,31793438,31793439,6.359
239,11,31793439,31793440,P26367,ENST00000241001,-,11,31793439,31793440,8.794
240,11,31793440,31793441,P26367,ENST00000241001,-,11,31793440,31793441,8.901
241,11,31793441,31793442,P26367,ENST00000241001,-,11,31793441,31793442,6.333
242,11,31793442,31793443,P26367,ENST00000241001,-,11,31793442,31793443,6.359
243,11,31793443,31793444,P26367,ENST00000241001,-,11,31793443,31793444,0.615
244,11,31793444,31793445,P26367,ENST00000241001,-,11,31793444,31793445,8.794
245,11,31793445,31793446,P26367,ENST00000241001,-,11,31793445,31793446,8.794
246,11,31793446,31793447,P26367,ENST00000241001,-,11,31793446,31793447,7.131
247,11,31793447,31793448,P26367,ENST00000241001,-,11,31793447,31793448,6.333
248,11,31793448,31793449,P26367,ENST00000241001,-,11,31793448,31793449,7.018
249,11,31793449,31793450,P26367,ENST00000241001,-,11,31793449,31793450,2.898
250,11,31793450,31793451,P26367,ENST00000241001,-,11,31793450,31793451,2.929
251,11,31793451,31793452,P26367,ENST00000241001,-,11,31793451,31793452,6.359
252,11,31793452,31793453,P26367,ENST00000241001,-,11,31793452,31793453,0.039
253,11,31793453,31793454,P26367,ENST00000241001,-,11,31793453,31793454,4.745
254,11,31793454,31793455,P26367,ENST00000241001,-,11,31793454,31793455,6.359
255,11,31793455,31793456,P26367,ENST00000241001,-,11,31793455,31793456,-3.177
256,11,31793456,31793457,P26367,ENST00000241001,-,11,31793456,31793457,8.794
257,11,31793457,31793458,P26367,ENST00000241001,-,11,31793457,31793458,8.901
258,11,31793458,31793459,P26367,ENST00000241001,-,11,31793458,31793459,8.901
259,11,31793459,31793460,P26367,ENST00000241001,-,11,31793459,31793460,6.333
260,11,31793460,31793461,P26367,ENST00000241001,-,11,31793460,31793461,6.359
261,11,31793461,31793462,P26367,ENST00000241001,-,11,31793461,31793462,3.534
262,11,31793462,31793463,P26367,ENST00000241001,-,11,31793462,31793463,8.794
263,11,31793463,31793464,P26367,ENST00000241001,-,11,31793463,31793464,6.359
264,11,31793464,31793465,P26367,ENST00000241001,-,11,31793464,31793465,2.44
265,11,31793465,31793466,P26367,ENST00000241001,-,11,31793465,31793466,6.333
266,11,31793466,31793467,P26367,ENST00000241001,-,11,31793466,31793467,6.333
267,11,31793467,31793468,P26367,ENST00000241001,-,11,31793467,31793468,1.278
268,11,31793468,31793469,P26367,ENST00000241001,-,11,31793468,31793469,8.901
269,11,31793469,31793470,P26367,ENST00000241001,-,11,31793469,31793470,6.359
270,11,31793470,31793471,P26367,ENST00000241001,-,11,31793470,31793471,3.507
271,11,31793471,31793472,P26367,ENST00000241001,-,11,31793471,31793472,8.794
272,11,31793472,31793473,P26367,ENST00000241001,-,11,31793472,31793473,8.794
273,11,31793473,31793474,P26367,ENST00000241001,-,11,31793473,31793474,7.142
274,11,31793474,31793475,P26367,ENST00000241001,-,11,31793474,31793475,6.333
275,11,31793475,31793476,P26367,ENST00000241001,-,11,31793475,31793476,6.359
276,11,31793476,31793477,P26367,ENST00000241001,-,11,31793476,31793477,1.363
277,11,31793477,31793478,P26367,ENST00000241001,-,11,31793477,31793478,8.794
278,11,31793478,31793479,P26367,ENST00000241001,-,11,31793478,31793479,8.794
279,11,31793479,31793480,P26367,ENST00000241001,-,11,31793479,31793480,-1.597
280,11,31793480,31793481,P26367,ENST00000241001,-,11,31793480,31793481,8.794
281,11,31793481,31793482,P26367,ENST00000241001,-,11,31793481,31793482,8.794
282,11,31793482,31793483,P26367,ENST00000241001,-,11,31793482,31793483,8.901
283,11,31793483,31793484,P26367,ENST00000241001,-,11,31793483,31793484,6.333
284,11,31793484,31793485,P26367,ENST00000241001,-,11,31793484,31793485,3.482
285,11,31793485,31793486,P26367,ENST00000241001,-,11,31793485,31793486,-0.208
286,11,31793486,31793487,P26367,ENST00000241001,-,11,31793486,31793487,8.794
287,11,31793487,31793488,P26367,ENST00000241001,-,11,31793487,31793488,8.901
288,11,31793488,31793489,P26367,ENST00000241001,-,11,31793488,31793489,-2.507
289,11,31793489,31793490,P26367,ENST00000241001,-,11,31793489,31793490,5.971
290,11,31793490,31793491,P26367,ENST00000241001,-,11,31793490,31793491,4.718
291,11,31793491,31793492,P26367,ENST00000241001,-,11,31793491,31793492,4.081
292,11,31793492,31793493,P26367,ENST00000241001,-,11,31793492,31793493,6.359
293,11,31793493,31793494,P26367,ENST00000241001,-,11,31793493,31793494,6.333
294,11,31793494,31793495,P26367,ENST00000241001,-,11,31793494,31793495,-8.781
295,11,31793495,31793496,P26367,ENST00000241001,-,11,31793495,31793496,7.036
296,11,31793496,31793497,P26367,ENST00000241001,-,11,31793496,31793497,3.675
297,11,31793497,31793498,P26367,ENST00000241001,-,11,31793497,31793498,2.901
298,11,31793498,31793499,P26367,ENST00000241001,-,11,31793498,31793499,6.359
299,11,31793499,31793500,P26367,ENST00000241001,-,11,31793499,31793500,6.359
300,11,31793500,31793501,P26367,ENST00000241001,-,11,31793500,31793501,0.339
301,11,31793501,31793502,P26367,ENST00000241001,-,11,31793501,31793502,8.794
302,11,31793502,31793503,P26367,ENST00000241001,-,11,31793502,31793503,6.359
303,11,31793503,31793504,P26367,ENST00000241001,-,11,31793503,31793504,2.435
304,11,31793504,31793505,P26367,ENST00000241001,-,11,31793504,31793505,6.333
305,11,31793505,31793506,P26367,ENST00000241001,-,11,31793505,31793506,8.794
306,11,31793506,31793507,P26367,ENST00000241001,-,11,31793506,31793507,4.919
307,11,31793507,31793508,P26367,ENST00000241001,-,11,31793507,31793508,8.794
308,11,31793508,31793509,P26367,ENST00000241001,-,11,31793508,31793509,8.901
309,11,31793509,31793510,P26367,ENST00000241001,-,11,31793509,31793510,-1.118
310,11,31793510,31793511,P26367,ENST00000241001,-,11,31793510,31793511,8.794
311,11,31793511,31793512,P26367,ENST00000241001,-,11,31793511,31793512,6.359
312,11,31793512,31793513,P26367,ENST00000241001,-,11,31793512,31793513,4.963
313,11,31793513,31793514,P26367,ENST00000241001,-,11,31793513,31793514,6.359
314,11,31793514,31793515,P26367,ENST00000241001,-,11,31793514,31793515,8.901
315,11,31793515,31793516,P26367,ENST00000241001,-,11,31793515,31793516,0.456
316,11,31793516,31793517,P26367,ENST00000241001,-,11,31793516,31793517,8.794
317,11,31793517,31793518,P26367,ENST00000241001,-,11,31793517,31793518,6.359
318,11,31793518,31793519,P26367,ENST00000241001,-,11,31793518,31793519,0.268
319,11,31793519,31793520,P26367,ENST00000241001,-,11,31793519,31793520,8.901
320,11,31793520,31793521,P26367,ENST00000241001,-,11,31793520,31793521,8.794
321,11,31793521,31793522,P26367,ENST00000241001,-,11,31793521,31793522,1.559
322,11,31793522,31793523,P26367,ENST00000241001,-,11,31793522,31793523,8.901
323,11,31793523,31793524,P26367,ENST00000241001,-,11,31793523,31793524,8.901
324,11,31793524,31793525,P26367,ENST00000241001,-,11,31793524,31793525,7.09
325,11,31793525,31793526,P26367,ENST00000241001,-,11,31793525,31793526,6.333
326,11,31793526,31793527,P26367,ENST00000241001,-,11,31793526,31793527,1.192
327,11,31793527,31793528,P26367,ENST00000241001,-,11,31793527,31793528,8.901
328,11,31793528,31793529,P26367,ENST00000241001,-,11,31793528,31793529,6.333
329,11,31793529,31793530,P26367,ENST00000241001,-,11,31793529,31793530,6.359
330,11,31793530,31793531,P26367,ENST00000241001,-,11,31793530,31793531,2.761
331,11,31793531,31793532,P26367,ENST00000241001,-,11,31793531,31793532,8.794
332,11,31793532,31793533,P26367,ENST00000241001,-,11,31793532,31793533,4.717
333,11,31793533,31793534,P26367,ENST00000241001,-,11,31793533,31793534,1.916
334,11,31793534,31793535,P26367,ENST00000241001,-,11,31793534,31793535,8.901
335,11,31793535,31793536,P26367,ENST00000241001,-,11,31793535,31793536,7.132
336,11,31793536,31793537,P26367,ENST00000241001,-,11,31793536,31793537,-3.044
337,11,31793537,31793538,P26367,ENST00000241001,-,11,31793537,31793538,8.794
338,11,31793538,31793539,P26367,ENST00000241001,-,11,31793538,31793539,6.333
339,11,31793539,31793540,P26367,ENST00000241001,-,11,31793539,31793540,0.031
340,11,31793540,31793541,P26367,ENST00000241001,-,11,31793540,31793541,8.794
341,11,31793541,31793542,P26367,ENST00000241001,-,11,31793541,31793542,3.731
342,11,31793542,31793543,P26367,ENST00000241001,-,11,31793542,31793543,4.196
343,11,31793543,31793544,P26367,ENST00000241001,-,11,31793543,31793544,6.333
344,11,31793544,31793545,P26367,ENST00000241001,-,11,31793544,31793545,6.333
345,11,31793545,31793546,P26367,ENST00000241001,-,11,31793545,31793546,2.455
346,11,31793546,31793547,P26367,ENST00000241001,-,11,31793546,31793547,8.794
347,11,31793547,31793548,P26367,ENST00000241001,-,11,31793547,31793548,6.333
