,uniprotID,ENST,canonical_uniprot_id_isoform
270,Q06416,ENST00000465342.4,Q06416
271,Q06546,ENST00000354828.7,Q06546
272,Q06732,ENST00000359467.8,Q06732
273,Q06945,ENST00000244745.4,Q06945
274,Q08AG5,ENST00000439326.8,Q08AG5
275,Q08AN1,ENST00000600228.6,Q08AN1
276,Q08ER8,ENST00000321545.5,Q08ER8
277,Q0VG99,ENST00000341735.5,Q0VG99
278,Q0VGE8,ENST00000357666.8,Q0VGE8
279,Q10586,ENST00000222122.10,Q10586
280,Q12778,ENST00000379561.6,Q12778
281,Q12870,ENST00000246080.4,Q12870
282,Q12946,ENST00000262426.6,Q12946
283,Q12947,ENST00000645481.2,Q12947
284,Q12948,ENST00000645831.2,Q12948
285,Q12950,ENST00000382500.4,Q12950
286,Q12952,ENST00000320241.5,Q12952
287,Q13106,ENST00000451275.1,Q13106
288,Q13129,ENST00000372771.5,Q13129
289,Q13207,ENST00000240328.4,Q13207
290,Q13285,ENST00000373588.9,Q13285
291,Q13351,ENST00000264834.6,Q13351
292,Q13461,ENST00000335071.4,Q13461
293,Q13485,ENST00000342988.8,Q13485
294,Q13487,ENST00000221573.11,Q13487
295,Q13516,ENST00000333337.3,Q13516
296,Q13526,ENST00000247970.9,Q13526
297,Q13562,ENST00000295108.4,Q13562
298,Q13886,ENST00000377126.4,Q13886
299,Q14119,ENST00000581208.2,Q14119
300,Q14209,ENST00000361729.3,Q14209
301,Q14469,ENST00000232424.4,Q14469
302,Q14549,ENST00000297537.5,Q14549
303,Q14582,ENST00000337190.7,Q14582
304,Q14584,ENST00000588221.5,Q14584
305,Q14585,ENST00000331800.9,Q14585
306,Q14586,ENST00000300870.15,Q14586
307,Q14588,ENST00000426739.7,Q14588
308,Q14765,ENST00000358470.8,Q14765
309,Q14774,ENST00000366903.8,Q14774
310,Q14872,ENST00000373036.5,Q14872
311,Q14929,ENST00000395395.7,Q14929
312,Q14995,ENST00000312521.9,Q14995
313,Q15072,ENST00000443387.3,Q15072
314,Q15075,ENST00000322349.13,Q15075
315,Q15270,ENST00000422806.2,Q15270
316,Q15319,ENST00000646991.2,Q15319
317,Q15361,ENST00000334270.3,Q15361
318,Q15475,ENST00000645694.3,Q15475
319,Q15596,ENST00000452400.7,Q15596
320,Q15672,ENST00000242261.6,Q15672
321,Q15699,ENST00000316824.4,Q15699
322,Q15744,ENST00000206513.6,Q15744
323,Q15784,ENST00000302584.5,Q15784
324,Q15915,ENST00000282928.5,Q15915
325,Q15916,ENST00000373659.4,Q15916
326,Q15928,ENST00000240499.8,Q15928
327,Q15935,ENST00000314531.5,Q15935
328,Q15937,ENST00000342483.5,Q15937
329,Q16254,ENST00000379378.8,Q16254
330,Q16520,ENST00000286639.8,Q16520
331,Q16559,ENST00000334077.6,Q16559
332,Q16600,ENST00000306006.10,Q16600
333,Q16621,ENST00000312156.8,Q16621
334,Q16633,ENST00000393067.8,Q16633
335,Q16649,ENST00000297689.4,Q16649
336,Q16676,ENST00000615637.3,Q16676
337,Q17RP2,ENST00000296736.4,Q17RP2
338,Q2M1V0,ENST00000308700.6,Q2M1V0
339,Q2TB10,ENST00000265827.8,Q2TB10
340,Q2VY69,ENST00000421176.4,Q2VY69
341,Q32M78,ENST00000308650.4,Q32M78
342,Q32MQ0,ENST00000269394.4,Q32MQ0
343,Q3C1V8,ENST00000343035.3,Q3C1V8
344,Q3KNW1,ENST00000332281.6,Q3KNW1
345,Q3KQV3,ENST00000404801.2,Q3KQV3
346,Q3MJ62,ENST00000289788.5,Q3MJ62
347,Q3SY56,ENST00000342234.3,Q3SY56
348,Q3SYB3,ENST00000622588.2,Q3SYB3
349,Q3ZCT1,ENST00000523638.6,Q3ZCT1
350,Q494X3,ENST00000587539.2,Q494X3
351,Q499Z4,ENST00000306562.8,Q499Z4
352,Q49AA0,ENST00000372705.3,Q49AA0
353,Q49AG3,ENST00000413761.7,Q49AG3
354,Q49AM1,ENST00000240050.9,Q49AM1
355,Q4W5G0,ENST00000603357.3,Q4W5G0
356,Q52M93,ENST00000532828.7,Q52M93
357,Q5EBL2,ENST00000598519.2,Q5EBL2
358,Q5H9I0,ENST00000310125.5,Q5H9I0
359,Q5HY98,ENST00000439461.6,Q5HY98
360,Q5HYK9,ENST00000292069.10,Q5HYK9
361,Q5JNZ3,ENST00000377179.4,Q5JNZ3
362,Q5JPB2,ENST00000371030.4,Q5JPB2
363,Q5JT82,ENST00000372299.4,Q5JT82
364,Q5SXM1,ENST00000343776.10,Q5SXM1
365,Q5SXM2,ENST00000298532.2,Q5SXM2
366,Q5T0B9,ENST00000373428.5,Q5T0B9
367,Q5T5D7,ENST00000372699.8,Q5T5D7
368,Q5T619,ENST00000339948.3,Q5T619
369,Q5TA89,ENST00000378453.4,Q5TA89
370,Q5TEC3,ENST00000421812.3,Q5TEC3
371,Q5TGS1,ENST00000377898.4,Q5TGS1
372,Q5TGY3,ENST00000247087.10,Q5TGY3
373,Q5VV16,ENST00000377420.1,Q5VV16
374,Q5VYV0,ENST00000376708.1,Q5VYV0
375,Q5VZB9,ENST00000325870.3,Q5VZB9
376,Q5XKR4,ENST00000306422.5,Q5XKR4
377,Q63HK5,ENST00000240587.5,Q63HK5
378,Q66K89,ENST00000301727.9,Q66K89
379,Q68DE3,ENST00000316407.9,Q68DE3
380,Q68DI1,ENST00000317178.10,Q68DI1
381,Q68EA5,ENST00000306908.10,Q68EA5
382,Q6AZW8,ENST00000322734.2,Q6AZW8
383,Q6B0B8,ENST00000309880.6,Q6B0B8
384,Q6BEB4,ENST00000375281.4,Q6BEB4
385,Q6DD87,ENST00000610935.2,Q6DD87
386,Q6IQ21,ENST00000356321.4,Q6IQ21
387,Q6IQ32,ENST00000262198.9,Q6IQ32
388,Q6IV72,ENST00000378061.7,Q6IV72
389,Q6NSW7,ENST00000528386.4,Q6NSW7
390,Q6NX45,ENST00000354377.8,Q6NX45
391,Q6NX49,ENST00000269829.5,Q6NX49
392,Q6P280,ENST00000591340.6,Q6P280
393,Q6P9A1,ENST00000332854.11,Q6P9A1
394,Q6PG37,ENST00000356725.9,Q6PG37
395,Q6PJQ5,ENST00000339140.5,Q6PJQ5
396,Q6QHK4,ENST00000332372.6,Q6QHK4
397,Q6R2W3,ENST00000452236.3,Q6R2W3
398,Q6S9Z5,ENST00000296600.5,Q6S9Z5
399,Q6SJ96,ENST00000247219.6,Q6SJ96
400,Q6U7Q0,ENST00000415922.7,Q6U7Q0
401,Q6VB84,ENST00000342833.4,Q6VB84
402,Q6VUC0,ENST00000373235.4,Q6VUC0
403,Q6XD76,ENST00000342331.5,Q6XD76
404,Q6ZMS4,ENST00000436261.7,Q6ZMS4
405,Q6ZMV8,ENST00000597761.7,Q6ZMV8
406,Q6ZMW2,ENST00000481138.6,Q6ZMW2
407,Q6ZMY9,ENST00000359971.4,Q6ZMY9
408,Q6ZN06,ENST00000396403.9,Q6ZN06
409,Q6ZN08,ENST00000344519.10,Q6ZN08
410,Q6ZN32,ENST00000454449.3,Q6ZN32
411,Q6ZN57,ENST00000361362.7,Q6ZN57
412,Q6ZN79,ENST00000359286.4,Q6ZN79
413,Q6ZNA1,ENST00000597252.5,Q6ZNA1
414,Q6ZNC4,ENST00000327835.7,Q6ZNC4
415,Q6ZNG1,ENST00000338230.3,Q6ZNG1
416,Q6ZNG2,ENST00000332700.6,Q6ZNG2
417,Q6ZNH5,ENST00000311044.8,Q6ZNH5
418,Q6ZQN5,ENST00000388920.5,Q6ZQN5
419,Q6ZTZ1,ENST00000438480.7,Q6ZTZ1
420,Q7L3S4,ENST00000319296.10,Q7L3S4
421,Q7L945,ENST00000361113.10,Q7L945
422,Q7RTS1,ENST00000314018.2,Q7RTS1
423,Q7RTS3,ENST00000376504.4,Q7RTS3
424,Q7RTU0,ENST00000563496.2,Q7RTU0
425,Q7RTU1,ENST00000296096.6,Q7RTU1
426,Q7RTU3,ENST00000367734.4,Q7RTU3
427,Q7RTU4,ENST00000391429.2,Q7RTU4
428,Q7RTU7,ENST00000567180.3,Q7RTU7
429,Q7Z3I7,ENST00000319286.6,Q7Z3I7
430,Q7Z3V5,ENST00000358744.3,Q7Z3V5
431,Q7Z570,ENST00000302277.7,Q7Z570
432,Q7Z5D8,ENST00000382119.1,Q7Z5D8
433,Q7Z6M4,ENST00000241527.10,Q7Z6M4
434,Q7Z6R9,ENST00000008391.4,Q7Z6R9
435,Q7Z7K2,ENST00000302017.4,Q7Z7K2
436,Q86T24,ENST00000326624.2,Q86T24
437,Q86TJ5,ENST00000317243.10,Q86TJ5
438,Q86UD4,ENST00000358067.5,Q86UD4
439,Q86UE3,ENST00000347077.9,Q86UE3
440,Q86UZ6,ENST00000245663.9,Q86UZ6
441,Q86V71,ENST00000358491.9,Q86V71
442,Q86VE0,ENST00000322217.6,Q86VE0
443,Q86XF7,ENST00000314228.10,Q86XF7
444,Q86XN6,ENST00000432094.6,Q86XN6
445,Q86XU0,ENST00000333952.8,Q86XU0
446,Q86Y25,ENST00000315475.7,Q86Y25
447,Q86YH2,ENST00000613655.1,Q86YH2
448,Q8HWS3,ENST00000332958.3,Q8HWS3
449,Q8IUE0,ENST00000321217.5,Q8IUE0
450,Q8IUE1,ENST00000283891.6,Q8IUE1
451,Q8IVC4,ENST00000306910.9,Q8IVC4
452,Q8IX07,ENST00000319555.8,Q8IX07
453,Q8IY51,ENST00000304337.3,Q8IY51
454,Q8IYA7,ENST00000375790.9,Q8IYA7
455,Q8IYB9,ENST00000610261.6,Q8IYB9
456,Q8IYI8,ENST00000304060.10,Q8IYI8
457,Q8IYN0,ENST00000358296.11,Q8IYN0
458,Q8IYX0,ENST00000255746.7,Q8IYX0
459,Q8IZ26,ENST00000343459.9,Q8IZ26
460,Q8IZM8,ENST00000636215.2,Q8IZM8
461,Q8N100,ENST00000373673.5,Q8N100
462,Q8N123,ENST00000276127.9,Q8N123
463,Q8N141,ENST00000392161.4,Q8N141
464,Q8N143,ENST00000293805.10,Q8N143
465,Q8N196,ENST00000317578.7,Q8N196
466,Q8N1W2,ENST00000268154.9,Q8N1W2
467,Q8N3J9,ENST00000337815.9,Q8N3J9
468,Q8N446,ENST00000315678.10,Q8N446
469,Q8N5J4,ENST00000551346.2,Q8N5J4
470,Q8N5P1,ENST00000409573.7,Q8N5P1
471,Q8N680,ENST00000325144.5,Q8N680
472,Q8N693,ENST00000372588.4,Q8N693
473,Q8N782,ENST00000474037.6,Q8N782
474,Q8N7E2,ENST00000323684.4,Q8N7E2
475,Q8N7G0,ENST00000606183.4,Q8N7G0
476,Q8N7M2,ENST00000324461.9,Q8N7M2
477,Q8N7Q3,ENST00000395385.7,Q8N7Q3
478,Q8N859,ENST00000429591.4,Q8N859
479,Q8N895,ENST00000318442.6,Q8N895
480,Q8N8L2,ENST00000323169.10,Q8N8L2
481,Q8N8Y5,ENST00000330701.7,Q8N8Y5
482,Q8N972,ENST00000397732.8,Q8N972
483,Q8N9F8,ENST00000320129.7,Q8N9F8
484,Q8NA42,ENST00000352998.7,Q8NA42
485,Q8NA92,ENST00000292894.2,Q8NA92
486,Q8NAF0,ENST00000325421.7,Q8NAF0
487,Q8NAM6,ENST00000318203.9,Q8NAM6
488,Q8NAP3,ENST00000321464.7,Q8NAP3
489,Q8NBF1,ENST00000312233.4,Q8NBF1
490,Q8NCA9,ENST00000325351.5,Q8NCA9
491,Q8NCY6,ENST00000301919.9,Q8NCY6
492,Q8ND82,ENST00000370978.9,Q8ND82
493,Q8NDP4,ENST00000304030.2,Q8NDP4
494,Q8NDX6,ENST00000416904.5,Q8NDX6
495,Q8NDY6,ENST00000370346.2,Q8NDY6
496,Q8NFJ8,ENST00000321870.3,Q8NFJ8
497,Q8NHV9,ENST00000217999.3,Q8NHV9
498,Q8NHW3,ENST00000333480.3,Q8NHW3
499,Q8TAK6,ENST00000382348.2,Q8TAK6
500,Q8TAU0,ENST00000344586.9,Q8TAU0
501,Q8TAW3,ENST00000317398.10,Q8TAW3
502,Q8TAX0,ENST00000272223.3,Q8TAX0
503,Q8TB69,ENST00000590202.3,Q8TB69
504,Q8TBZ5,ENST00000296091.8,Q8TBZ5
505,Q8TBZ8,ENST00000339282.12,Q8TBZ8
506,Q8TD23,ENST00000359788.9,Q8TD23
507,Q8TD94,ENST00000583337.4,Q8TD94
508,Q8TF32,ENST00000311048.11,Q8TF32
509,Q8TF45,ENST00000396147.6,Q8TF45
510,Q8TF50,ENST00000301215.8,Q8TF50
511,Q8WTR7,ENST00000270617.8,Q8WTR7
512,Q8WUU4,ENST00000303809.7,Q8WUU4
513,Q8WVJ9,ENST00000448943.2,Q8WVJ9
514,Q8WXB4,ENST00000341164.9,Q8WXB4
515,Q8WXI9,ENST00000368655.5,Q8WXI9
516,Q8WXT5,ENST00000377413.3,Q8WXT5
517,Q92610,ENST00000299927.4,Q92610
518,Q92618,ENST00000443185.7,Q92618
519,Q92786,ENST00000366958.9,Q92786
520,Q92826,ENST00000290295.8,Q92826
521,Q92858,ENST00000306011.6,Q92858
522,Q92886,ENST00000314744.6,Q92886
523,Q92949,ENST00000322957.7,Q92949
524,Q969G2,ENST00000263726.4,Q969G2
525,Q969J2,ENST00000377294.3,Q969J2
526,Q96A47,ENST00000290759.9,Q96A47
527,Q96B54,ENST00000300811.8,Q96B54
528,Q96BF6,ENST00000277554.4,Q96BF6
529,Q96BV0,ENST00000329630.10,Q96BV0
530,Q96C00,ENST00000395064.3,Q96C00
531,Q96C28,ENST00000358656.9,Q96C28
532,Q96C55,ENST00000301073.4,Q96C55
533,Q96CK0,ENST00000293771.10,Q96CK0
534,Q96CS4,ENST00000287461.8,Q96CS4
535,Q96DN6,ENST00000355673.8,Q96DN6
536,Q96EG3,ENST00000427624.2,Q96EG3
537,Q96EK4,ENST00000303596.3,Q96EK4
538,Q96H40,ENST00000335117.9,Q96H40
539,Q96IR2,ENST00000458035.3,Q96IR2
540,Q96IS3,ENST00000555633.3,Q96IS3
541,Q96IU2,ENST00000255198.3,Q96IU2
542,Q96JC4,ENST00000319636.10,Q96JC4
543,Q96JF6,ENST00000399604.4,Q96JF6
544,Q96JG9,ENST00000565624.3,Q96JG9
545,Q96JM3,ENST00000361283.4,Q96JM3
546,Q96K62,ENST00000354590.7,Q96K62
547,Q96K75,ENST00000295208.7,Q96K75
548,Q96K83,ENST00000361524.8,Q96K83
549,Q96KM6,ENST00000369888.6,Q96KM6
550,Q96LU7,ENST00000552032.7,Q96LU7
551,Q96LW1,ENST00000322434.8,Q96LW1
552,Q96LX8,ENST00000301744.7,Q96LX8
553,Q96MA1,ENST00000371445.3,Q96MA1
554,Q96MM3,ENST00000326866.5,Q96MM3
555,Q96MR9,ENST00000301480.5,Q96MR9
556,Q96MW7,ENST00000408957.7,Q96MW7
557,Q96MX3,ENST00000320159.2,Q96MX3
558,Q96N20,ENST00000574298.6,Q96N20
559,Q96N58,ENST00000421239.7,Q96N58
560,Q96NB3,ENST00000361952.5,Q96NB3
561,Q96ND8,ENST00000291598.11,Q96ND8
562,Q96NG8,ENST00000301310.8,Q96NG8
563,Q96NJ6,ENST00000318833.4,Q96NJ6
564,Q96NK8,ENST00000297142.4,Q96NK8
565,Q96PE6,ENST00000269834.1,Q96PE6
566,Q96QR8,ENST00000395699.5,Q96QR8
567,Q96QS3,ENST00000379044.5,Q96QS3
568,Q96RJ6,ENST00000275461.3,Q96RJ6
569,Q96S65,ENST00000273153.10,Q96S65
570,Q96SC8,ENST00000404795.4,Q96SC8
571,Q96SL8,ENST00000221665.5,Q96SL8
572,Q96T25,ENST00000267294.5,Q96T25
573,Q96T58,ENST00000375759.8,Q96T58
574,Q96T92,ENST00000307169.4,Q96T92
575,Q99453,ENST00000226382.4,Q99453
576,Q99459,ENST00000371477.4,Q99459
577,Q99551,ENST00000351870.8,Q99551
578,Q99581,ENST00000295727.2,Q99581
579,Q99583,ENST00000174618.5,Q99583
580,Q99594,ENST00000338863.13,Q99594
581,Q99607,ENST00000308167.10,Q99607
582,Q99626,ENST00000381020.8,Q99626
583,Q99676,ENST00000211936.10,Q99676
584,Q99684,ENST00000294702.6,Q99684
585,Q99717,ENST00000509297.6,Q99717
586,Q99743,ENST00000335681.10,Q99743
587,Q99811,ENST00000372469.6,Q99811
588,Q99814,ENST00000263734.5,Q99814
