,chr,start,end,PhyloP,P,q
51,11,31802744,31802745,8.689,2.046444636724674e-09,8.023598118942898e-09
53,11,31802746,31802747,8.689,2.046444636724674e-09,8.023598118942898e-09
54,11,31802747,31802748,8.795,1.6032453906900417e-09,7.853911032338016e-09
56,11,31802749,31802750,6.259,5.508076964054029e-07,9.958484323238097e-07
57,11,31802750,31802751,8.689,2.046444636724674e-09,8.023598118942898e-09
58,11,31802751,31802752,3.315,0.0004841723675840994,0.0006514715116219822
59,11,31802752,31802753,6.284,5.199959965335162e-07,9.657475238745897e-07
60,11,31802753,31802754,8.795,1.6032453906900417e-09,7.853911032338016e-09
62,11,31802755,31802756,6.259,5.508076964054029e-07,9.958484323238097e-07
63,11,31802756,31802757,8.795,1.6032453906900417e-09,7.853911032338016e-09
64,11,31802757,31802758,2.104,0.007870457896950985,0.009663129129225689
65,11,31802758,31802759,6.259,5.508076964054029e-07,9.958484323238097e-07
66,11,31802759,31802760,6.284,5.199959965335162e-07,9.657475238745897e-07
67,11,31802760,31802761,8.795,1.6032453906900417e-09,7.853911032338016e-09
68,11,31802761,31802762,6.284,5.199959965335162e-07,9.657475238745897e-07
69,11,31802762,31802763,6.285,5.18800038928961e-07,9.657475238745897e-07
70,11,31802763,31802764,8.796,1.5995580286146711e-09,7.853911032338016e-09
71,11,31802764,31802765,6.285,5.18800038928961e-07,9.657475238745897e-07
72,11,31802765,31802766,8.69,2.0417379446695317e-09,8.021319631887191e-09
73,11,31802766,31802767,8.796,1.5995580286146711e-09,7.853911032338016e-09
74,11,31802767,31802768,8.796,1.5995580286146711e-09,7.853911032338016e-09
75,11,31802768,31802769,3.292,0.0005105049999754065,0.0006861432818002093
76,11,31802769,31802770,6.917,1.210598133550483e-07,3.729624387675811e-07
77,11,31802770,31802771,8.69,2.0417379446695317e-09,8.021319631887191e-09
78,11,31802771,31802772,6.285,5.18800038928961e-07,9.657475238745897e-07
79,11,31802772,31802773,5.741,1.815515662773137e-06,2.999326283566837e-06
80,11,31802773,31802774,8.69,2.0417379446695317e-09,8.021319631887191e-09
81,11,31802774,31802775,6.26,5.495408738576248e-07,9.945753709777341e-07
82,11,31802775,31802776,4.861,1.3772094688939472e-05,2.173993967987742e-05
83,11,31802776,31802777,6.285,5.18800038928961e-07,9.657475238745897e-07
84,11,31802777,31802778,8.796,1.5995580286146711e-09,7.853911032338016e-09
85,11,31802778,31802779,3.484,0.00032809529311311904,0.0004472207504205254
86,11,31802779,31802780,8.69,2.0417379446695317e-09,8.021319631887191e-09
87,11,31802780,31802781,8.69,2.0417379446695317e-09,8.021319631887191e-09
88,11,31802781,31802782,8.838,1.452111617587745e-09,7.853911032338016e-09
89,11,31802782,31802783,6.29,5.128613839913648e-07,9.625990818557877e-07
90,11,31802783,31802784,8.732,1.8535316234148142e-09,7.853911032338016e-09
91,11,31802784,31802785,2.964,0.0010864256236170656,0.0014355969416872778
92,11,31802785,31802786,8.732,1.8535316234148142e-09,7.853911032338016e-09
93,11,31802786,31802787,8.732,1.8535316234148142e-09,7.853911032338016e-09
94,11,31802787,31802788,3.576,0.0002654605561975539,0.0003656123534850918
95,11,31802788,31802789,8.838,1.452111617587745e-09,7.853911032338016e-09
96,11,31802789,31802790,6.9,1.2589254117941662e-07,3.868703458434325e-07
97,11,31802790,31802791,5.917,1.210598133550483e-06,2.0824258613308005e-06
98,11,31802791,31802792,8.838,1.452111617587745e-09,7.853911032338016e-09
99,11,31802792,31802793,8.838,1.452111617587745e-09,7.853911032338016e-09
100,11,31802793,31802794,8.732,1.8535316234148142e-09,7.853911032338016e-09
101,11,31802794,31802795,6.315,4.841723675840989e-07,9.58833066803275e-07
102,11,31802795,31802796,6.315,4.841723675840989e-07,9.58833066803275e-07
103,11,31802796,31802797,8.732,1.8535316234148142e-09,7.853911032338016e-09
104,11,31802797,31802798,6.29,5.128613839913648e-07,9.625990818557877e-07
105,11,31802798,31802799,8.798,1.59220872705117e-09,7.853911032338016e-09
106,11,31802799,31802800,4.651,2.2335722228305327e-05,3.3344091468438304e-05
107,11,31802800,31802801,6.261,5.482769649208535e-07,9.930273897490598e-07
108,11,31802801,31802802,6.261,5.482769649208535e-07,9.930273897490598e-07
109,11,31802802,31802803,2.831,0.0014757065332758946,0.001902410961840818
110,11,31802803,31802804,6.261,5.482769649208535e-07,9.930273897490598e-07
111,11,31802804,31802805,8.798,1.59220872705117e-09,7.853911032338016e-09
112,11,31802805,31802806,2.865,0.001364583136588924,0.0017666526784324444
113,11,31802806,31802807,8.798,1.59220872705117e-09,7.853911032338016e-09
114,11,31802807,31802808,8.798,1.59220872705117e-09,7.853911032338016e-09
115,11,31802808,31802809,3.579,0.00026363313858253785,0.00036319840667896856
116,11,31802809,31802810,8.798,1.59220872705117e-09,7.853911032338016e-09
117,11,31802810,31802811,8.798,1.59220872705117e-09,7.853911032338016e-09
118,11,31802811,31802812,2.021,0.009527961640236522,0.01164521990012061
119,11,31802812,31802813,6.261,5.482769649208535e-07,9.930273897490598e-07
120,11,31802813,31802814,8.692,2.0323570109362207e-09,8.021319631887191e-09
121,11,31802814,31802815,4.952,1.1168632477805611e-05,1.7934565681035225e-05
122,11,31802815,31802816,6.287,5.16416369272071e-07,9.657475238745897e-07
123,11,31802816,31802817,8.692,2.0323570109362207e-09,8.021319631887191e-09
125,11,31802818,31802819,6.287,5.16416369272071e-07,9.657475238745897e-07
126,11,31802819,31802820,6.287,5.16416369272071e-07,9.657475238745897e-07
127,11,31802820,31802821,5.852,1.4060475241299128e-06,2.3697799940757538e-06
128,11,31802821,31802822,6.261,5.482769649208535e-07,9.930273897490598e-07
129,11,31802822,31802823,8.798,1.59220872705117e-09,7.853911032338016e-09
131,11,31802824,31802825,8.798,1.59220872705117e-09,7.853911032338016e-09
132,11,31802825,31802826,8.798,1.59220872705117e-09,7.853911032338016e-09
133,11,31802826,31802827,2.688,0.0020511621788255646,0.002626325073619062
134,11,31802827,31802828,8.798,1.59220872705117e-09,7.853911032338016e-09
135,11,31802828,31802829,6.287,5.16416369272071e-07,9.657475238745897e-07
136,11,31802829,31802830,8.664,2.1677041048196964e-09,8.304762740888543e-09
137,11,31802830,31802831,4.629,2.3496328208483096e-05,3.4980023687407105e-05
138,11,31802831,31802832,8.664,2.1677041048196964e-09,8.304762740888543e-09
139,11,31802832,31802833,4.634,2.322736796357105e-05,3.4590204910823524e-05
140,11,31802833,31802834,6.988,1.0280162981264725e-07,3.2617037996855424e-07
141,11,31801560,31801561,2.931,0.0011721953655481304,0.0015359883065340545
142,11,31801561,31801562,8.894,1.2764388088113434e-09,7.853911032338016e-09
143,11,31801562,31801563,6.354,4.4258837236262647e-07,9.58833066803275e-07
145,11,31801564,31801565,8.787,1.6330519478943314e-09,7.853911032338016e-09
146,11,31801565,31801566,8.787,1.6330519478943314e-09,7.853911032338016e-09
147,11,31801566,31801567,4.721,1.9010782799232996e-05,2.920564554088868e-05
148,11,31801567,31801568,6.328,4.698941086052151e-07,9.58833066803275e-07
149,11,31801568,31801569,6.354,4.4258837236262647e-07,9.58833066803275e-07
150,11,31801569,31801570,1.928,0.011803206356517298,0.014297535430176676
151,11,31801570,31801571,6.354,4.4258837236262647e-07,9.58833066803275e-07
152,11,31801571,31801572,6.354,4.4258837236262647e-07,9.58833066803275e-07
153,11,31801572,31801573,1.929,0.011776059735208072,0.014265540774557666
154,11,31801573,31801574,6.354,4.4258837236262647e-07,9.58833066803275e-07
155,11,31801574,31801575,8.894,1.2764388088113434e-09,7.853911032338016e-09
156,11,31801575,31801576,8.787,1.6330519478943314e-09,7.853911032338016e-09
157,11,31801576,31801577,6.354,4.4258837236262647e-07,9.58833066803275e-07
158,11,31801577,31801578,6.354,4.4258837236262647e-07,9.58833066803275e-07
159,11,31801578,31801579,5.867,1.3583134465871542e-06,2.3027019218758427e-06
160,11,31801579,31801580,8.787,1.6330519478943314e-09,7.853911032338016e-09
161,11,31801580,31801581,6.354,4.4258837236262647e-07,9.58833066803275e-07
162,11,31801581,31801582,3.735,0.00018407720014689563,0.00025917973802998707
163,11,31801582,31801583,8.894,1.2764388088113434e-09,7.853911032338016e-09
164,11,31801583,31801584,6.328,4.698941086052151e-07,9.58833066803275e-07
165,11,31801584,31801585,8.787,1.6330519478943314e-09,7.853911032338016e-09
166,11,31801585,31801586,6.328,4.698941086052151e-07,9.58833066803275e-07
167,11,31801586,31801587,8.894,1.2764388088113434e-09,7.853911032338016e-09
168,11,31801587,31801588,4.249,5.636376558259549e-05,8.28956652210593e-05
169,11,31801588,31801589,8.894,1.2764388088113434e-09,7.853911032338016e-09
170,11,31801589,31801590,8.894,1.2764388088113434e-09,7.853911032338016e-09
171,11,31801590,31801591,8.894,1.2764388088113434e-09,7.853911032338016e-09
172,11,31801591,31801592,6.354,4.4258837236262647e-07,9.58833066803275e-07
173,11,31801592,31801593,8.894,1.2764388088113434e-09,7.853911032338016e-09
175,11,31801594,31801595,8.787,1.6330519478943314e-09,7.853911032338016e-09
176,11,31801595,31801596,6.328,4.698941086052151e-07,9.58833066803275e-07
177,11,31801596,31801597,4.047,8.974287945007491e-05,0.00012842208030822155
178,11,31801597,31801598,6.328,4.698941086052151e-07,9.58833066803275e-07
180,11,31801599,31801600,4.933,1.166809617060963e-05,1.8651878142330266e-05
181,11,31801600,31801601,6.328,4.698941086052151e-07,9.58833066803275e-07
182,11,31801601,31801602,1.837,0.014554590805819662,0.017470361096280508
183,11,31801602,31801603,2.985,0.0010351421666793441,0.001373900549303467
184,11,31801603,31801604,8.894,1.2764388088113434e-09,7.853911032338016e-09
185,11,31801604,31801605,3.721,0.00019010782799232996,0.0002666474173751891
186,11,31801605,31801606,8.787,1.6330519478943314e-09,7.853911032338016e-09
187,11,31801606,31801607,6.354,4.4258837236262647e-07,9.58833066803275e-07
188,11,31801607,31801608,8.894,1.2764388088113434e-09,7.853911032338016e-09
189,11,31801608,31801609,4.738,1.828100216142741e-05,2.8366921390633132e-05
190,11,31801609,31801610,8.894,1.2764388088113434e-09,7.853911032338016e-09
191,11,31801610,31801611,8.787,1.6330519478943314e-09,7.853911032338016e-09
192,11,31801611,31801612,5.874,1.3365955165464433e-06,2.272224064720862e-06
193,11,31801612,31801613,6.328,4.698941086052151e-07,9.58833066803275e-07
194,11,31801613,31801614,6.354,4.4258837236262647e-07,9.58833066803275e-07
195,11,31801614,31801615,4.719,1.909853258566237e-05,2.9291848943995696e-05
196,11,31801615,31801616,6.354,4.4258837236262647e-07,9.58833066803275e-07
197,11,31801616,31801617,8.894,1.2764388088113434e-09,7.853911032338016e-09
198,11,31801617,31801618,8.894,1.2764388088113434e-09,7.853911032338016e-09
199,11,31801618,31801619,8.894,1.2764388088113434e-09,7.853911032338016e-09
200,11,31801619,31801620,6.328,4.698941086052151e-07,9.58833066803275e-07
201,11,31801620,31801621,3.87,0.00013489628825916533,0.00019136061087282589
202,11,31801621,31801622,8.787,1.6330519478943314e-09,7.853911032338016e-09
203,11,31801622,31801623,8.894,1.2764388088113434e-09,7.853911032338016e-09
204,11,31801623,31801624,2.109,0.007780365510398041,0.009553722787588046
205,11,31801624,31801625,6.328,4.698941086052151e-07,9.58833066803275e-07
206,11,31801625,31801626,6.328,4.698941086052151e-07,9.58833066803275e-07
207,11,31801626,31801627,8.787,1.6330519478943314e-09,7.853911032338016e-09
208,11,31801627,31801628,6.328,4.698941086052151e-07,9.58833066803275e-07
209,11,31801628,31801629,6.354,4.4258837236262647e-07,9.58833066803275e-07
210,11,31801629,31801630,5.87,1.3489628825916533e-06,2.289245467943573e-06
211,11,31801630,31801631,8.787,1.6330519478943314e-09,7.853911032338016e-09
212,11,31801631,31801632,6.328,4.698941086052151e-07,9.58833066803275e-07
213,11,31801632,31801633,1.854,0.013995873225726178,0.016838176048994128
214,11,31801633,31801634,8.787,1.6330519478943314e-09,7.853911032338016e-09
215,11,31801634,31801635,8.787,1.6330519478943314e-09,7.853911032338016e-09
216,11,31801635,31801636,3.292,0.0005105049999754065,0.0006861432818002093
217,11,31801636,31801637,8.894,1.2764388088113434e-09,7.853911032338016e-09
218,11,31801637,31801638,6.328,4.698941086052151e-07,9.58833066803275e-07
219,11,31801638,31801639,8.894,1.2764388088113434e-09,7.853911032338016e-09
220,11,31801639,31801640,6.354,4.4258837236262647e-07,9.58833066803275e-07
221,11,31801640,31801641,8.894,1.2764388088113434e-09,7.853911032338016e-09
222,11,31801641,31801642,4.265,5.432503314924336e-05,8.000012266308708e-05
223,11,31801642,31801643,8.894,1.2764388088113434e-09,7.853911032338016e-09
224,11,31801643,31801644,7.022,9.50604793656281e-08,3.0933236825203465e-07
225,11,31801644,31801645,1.769,0.01702158508394951,0.020239155992369758
226,11,31801645,31801646,6.354,4.4258837236262647e-07,9.58833066803275e-07
227,11,31801646,31801647,6.354,4.4258837236262647e-07,9.58833066803275e-07
228,11,31801647,31801648,4.901,1.2560299636948754e-05,1.9953419874270335e-05
229,11,31801648,31801649,6.354,4.4258837236262647e-07,9.58833066803275e-07
230,11,31801649,31801650,6.328,4.698941086052151e-07,9.58833066803275e-07
231,11,31801650,31801651,7.127,7.464487584100669e-08,2.6079430745313446e-07
232,11,31801651,31801652,6.354,4.4258837236262647e-07,9.58833066803275e-07
233,11,31801652,31801653,8.787,1.6330519478943314e-09,7.853911032338016e-09
234,11,31801653,31801654,5.86,1.3803842646028838e-06,2.334824815717605e-06
235,11,31801654,31801655,8.787,1.6330519478943314e-09,7.853911032338016e-09
236,11,31801655,31801656,8.894,1.2764388088113434e-09,7.853911032338016e-09
237,11,31801656,31801657,3.721,0.00019010782799232996,0.0002666474173751891
238,11,31801657,31801658,6.328,4.698941086052151e-07,9.58833066803275e-07
239,11,31801658,31801659,6.354,4.4258837236262647e-07,9.58833066803275e-07
240,11,31801659,31801660,1.414,0.038547835766577186,0.04471070636577941
241,11,31801660,31801661,6.354,4.4258837236262647e-07,9.58833066803275e-07
242,11,31801661,31801662,6.354,4.4258837236262647e-07,9.58833066803275e-07
243,11,31801662,31801663,8.787,1.6330519478943314e-09,7.853911032338016e-09
244,11,31801663,31801664,8.894,1.2764388088113434e-09,7.853911032338016e-09
245,11,31801664,31801665,6.354,4.4258837236262647e-07,9.58833066803275e-07
246,11,31801665,31801666,2.478,0.0033265955329400436,0.004226556684764639
247,11,31801666,31801667,6.328,4.698941086052151e-07,9.58833066803275e-07
248,11,31801667,31801668,8.894,1.2764388088113434e-09,7.853911032338016e-09
249,11,31801668,31801669,2.986,0.001032761405761397,0.001371115057167555
250,11,31801669,31801670,6.328,4.698941086052151e-07,9.58833066803275e-07
251,11,31801670,31801671,8.894,1.2764388088113434e-09,7.853911032338016e-09
252,11,31801671,31801672,4.738,1.828100216142741e-05,2.8366921390633132e-05
253,11,31801672,31801673,6.354,4.4258837236262647e-07,9.58833066803275e-07
254,11,31801673,31801674,8.894,1.2764388088113434e-09,7.853911032338016e-09
256,11,31801675,31801676,8.787,1.6330519478943314e-09,7.853911032338016e-09
257,11,31801676,31801677,8.787,1.6330519478943314e-09,7.853911032338016e-09
258,11,31801677,31801678,2.317,0.004819477976251272,0.006004813219625343
259,11,31801678,31801679,8.787,1.6330519478943314e-09,7.853911032338016e-09
260,11,31801679,31801680,6.354,4.4258837236262647e-07,9.58833066803275e-07
262,11,31801681,31801682,8.787,1.6330519478943314e-09,7.853911032338016e-09
263,11,31801682,31801683,8.894,1.2764388088113434e-09,7.853911032338016e-09
265,11,31801684,31801685,6.328,4.698941086052151e-07,9.58833066803275e-07
266,11,31801685,31801686,8.894,1.2764388088113434e-09,7.853911032338016e-09
267,11,31801686,31801687,3.72,0.00019054607179632462,0.00026720427507651923
268,11,31801687,31801688,8.894,1.2764388088113434e-09,7.853911032338016e-09
269,11,31801688,31801689,3.781,0.00016557699634695277,0.00023433640558842645
270,11,31801689,31801690,-1.942,0.011428783347897719,0.01386385292196003
271,11,31801690,31801691,8.787,1.6330519478943314e-09,7.853911032338016e-09
272,11,31801691,31801692,8.787,1.6330519478943314e-09,7.853911032338016e-09
274,11,31801693,31801694,6.354,4.4258837236262647e-07,9.58833066803275e-07
275,11,31801694,31801695,6.354,4.4258837236262647e-07,9.58833066803275e-07
277,11,31801696,31801697,8.894,1.2764388088113434e-09,7.853911032338016e-09
278,11,31801697,31801698,6.354,4.4258837236262647e-07,9.58833066803275e-07
280,11,31801699,31801700,8.894,1.2764388088113434e-09,7.853911032338016e-09
281,11,31801700,31801701,8.894,1.2764388088113434e-09,7.853911032338016e-09
282,11,31801701,31801702,1.827,0.014893610777109155,0.017847548495490497
283,11,31801702,31801703,8.894,1.2764388088113434e-09,7.853911032338016e-09
284,11,31801703,31801704,8.894,1.2764388088113434e-09,7.853911032338016e-09
285,11,31801704,31801705,2.949,0.0011246049739669268,0.00147961121321146
286,11,31801705,31801706,6.328,4.698941086052151e-07,9.58833066803275e-07
287,11,31801706,31801707,6.354,4.4258837236262647e-07,9.58833066803275e-07
288,11,31801707,31801708,1.468,0.03404081897010009,0.03970339791455645
289,11,31801708,31801709,8.787,1.6330519478943314e-09,7.853911032338016e-09
290,11,31801709,31801710,8.894,1.2764388088113434e-09,7.853911032338016e-09
291,11,31801710,31801711,8.894,1.2764388088113434e-09,7.853911032338016e-09
292,11,31801711,31801712,8.894,1.2764388088113434e-09,7.853911032338016e-09
293,11,31801712,31801713,4.727,1.8749945080674174e-05,2.8912299326159725e-05
294,11,31801713,31801714,8.787,1.6330519478943314e-09,7.853911032338016e-09
295,11,31801714,31801715,8.787,1.6330519478943314e-09,7.853911032338016e-09
296,11,31801715,31801716,8.787,1.6330519478943314e-09,7.853911032338016e-09
298,11,31801717,31801718,8.894,1.2764388088113434e-09,7.853911032338016e-09
299,11,31801718,31801719,4.933,1.166809617060963e-05,1.8651878142330266e-05
300,11,31801719,31801720,8.787,1.6330519478943314e-09,7.853911032338016e-09
301,11,31801720,31801721,6.328,4.698941086052151e-07,9.58833066803275e-07
302,11,31801721,31801722,6.354,4.4258837236262647e-07,9.58833066803275e-07
303,11,31801722,31801723,8.787,1.6330519478943314e-09,7.853911032338016e-09
304,11,31801723,31801724,8.787,1.6330519478943314e-09,7.853911032338016e-09
305,11,31801724,31801725,6.328,4.698941086052151e-07,9.58833066803275e-07
306,11,31801725,31801726,6.968,1.076465213629835e-07,3.379575835395589e-07
307,11,31801726,31801727,8.894,1.2764388088113434e-09,7.853911032338016e-09
308,11,31801727,31801728,8.894,1.2764388088113434e-09,7.853911032338016e-09
309,11,31801728,31801729,1.469,0.03396252725904084,0.03961683570299562
310,11,31801729,31801730,8.787,1.6330519478943314e-09,7.853911032338016e-09
311,11,31801730,31801731,6.354,4.4258837236262647e-07,9.58833066803275e-07
312,11,31801731,31801732,7.125,7.498942093324559e-08,2.6134061860639793e-07
313,11,31801732,31801733,6.354,4.4258837236262647e-07,9.58833066803275e-07
314,11,31801733,31801734,8.894,1.2764388088113434e-09,7.853911032338016e-09
315,11,31801734,31801735,8.787,1.6330519478943314e-09,7.853911032338016e-09
316,11,31801735,31801736,6.354,4.4258837236262647e-07,9.58833066803275e-07
317,11,31801736,31801737,6.328,4.698941086052151e-07,9.58833066803275e-07
318,11,31801737,31801738,4.713,1.936421963946607e-05,2.954551694656979e-05
319,11,31801738,31801739,6.354,4.4258837236262647e-07,9.58833066803275e-07
320,11,31801739,31801740,6.328,4.698941086052151e-07,9.58833066803275e-07
321,11,31801740,31801741,8.894,1.2764388088113434e-09,7.853911032338016e-09
322,11,31801741,31801742,8.894,1.2764388088113434e-09,7.853911032338016e-09
323,11,31801742,31801743,6.354,4.4258837236262647e-07,9.58833066803275e-07
324,11,31801743,31801744,8.787,1.6330519478943314e-09,7.853911032338016e-09
325,11,31801744,31801745,8.894,1.2764388088113434e-09,7.853911032338016e-09
326,11,31801745,31801746,8.894,1.2764388088113434e-09,7.853911032338016e-09
327,11,31801746,31801747,8.901,1.2560299636948755e-09,7.853911032338016e-09
328,11,31801747,31801748,6.333,4.645152752227492e-07,9.58833066803275e-07
329,11,31801748,31801749,8.794,1.6069412530128755e-09,7.853911032338016e-09
330,11,31801749,31801750,3.709,0.00019543394557753943,0.0002732309055773423
331,11,31801750,31801751,6.333,4.645152752227492e-07,9.58833066803275e-07
332,11,31801751,31801752,6.359,4.375221051582521e-07,9.58833066803275e-07
333,11,31801752,31801753,3.666,0.00021577444091526668,0.00029949332200996076
334,11,31801753,31801754,6.359,4.375221051582521e-07,9.58833066803275e-07
335,11,31801754,31801755,6.359,4.375221051582521e-07,9.58833066803275e-07
336,11,31801755,31801756,6.333,4.645152752227492e-07,9.58833066803275e-07
337,11,31801756,31801757,8.901,1.2560299636948755e-09,7.853911032338016e-09
338,11,31801757,31801758,6.359,4.375221051582521e-07,9.58833066803275e-07
339,11,31801758,31801759,8.901,1.2560299636948755e-09,7.853911032338016e-09
340,11,31801759,31801760,6.333,4.645152752227492e-07,9.58833066803275e-07
341,11,31801760,31801761,8.901,1.2560299636948755e-09,7.853911032338016e-09
342,11,31801761,31801762,3.726,0.00018793168168032686,0.00026391879284294654
343,11,31801762,31801763,8.901,1.2560299636948755e-09,7.853911032338016e-09
344,11,31801763,31801764,6.333,4.645152752227492e-07,9.58833066803275e-07
345,11,31801764,31801765,1.923,0.011939881044642732,0.014454987991966914
346,11,31801765,31801766,8.901,1.2560299636948755e-09,7.853911032338016e-09
347,11,31801766,31801767,8.901,1.2560299636948755e-09,7.853911032338016e-09
348,11,31801767,31801768,2.252,0.0055975760149511045,0.006915782579824257
349,11,31801768,31801769,6.359,4.375221051582521e-07,9.58833066803275e-07
350,11,31801769,31801770,6.359,4.375221051582521e-07,9.58833066803275e-07
351,11,31801770,31801771,8.794,1.6069412530128755e-09,7.853911032338016e-09
352,11,31801771,31801772,8.794,1.6069412530128755e-09,7.853911032338016e-09
353,11,31801772,31801773,6.333,4.645152752227492e-07,9.58833066803275e-07
354,11,31801773,31801774,3.034,0.0009246981739382229,0.0012332903413280881
355,11,31801774,31801775,6.333,4.645152752227492e-07,9.58833066803275e-07
356,11,31801775,31801776,8.901,1.2560299636948755e-09,7.853911032338016e-09
357,11,31800690,31800691,8.827,1.4893610777109153e-09,7.853911032338016e-09
358,11,31800691,31800692,4.712,1.9408858775927792e-05,2.9581127316795802e-05
359,11,31800692,31800693,4.666,2.1577444091526645e-05,3.2276522962882946e-05
360,11,31800693,31800694,8.721,1.9010782799232997e-09,7.853911032338016e-09
361,11,31800694,31800695,-6.166,6.82338694141669e-07,1.1968165295621534e-06
362,11,31800695,31800696,8.721,1.9010782799232997e-09,7.853911032338016e-09
365,11,31800698,31800699,8.721,1.9010782799232997e-09,7.853911032338016e-09
366,11,31800699,31800700,8.721,1.9010782799232997e-09,7.853911032338016e-09
367,11,31800700,31800701,3.069,0.0008531001140175895,0.0011395181036578724
368,11,31800701,31800702,6.307,4.931738039549355e-07,9.58833066803275e-07
369,11,31800702,31800703,8.721,1.9010782799232997e-09,7.853911032338016e-09
370,11,31800703,31800704,2.041,0.009099132726322517,0.011137200981925634
371,11,31800704,31800705,8.827,1.4893610777109153e-09,7.853911032338016e-09
372,11,31800705,31800706,8.827,1.4893610777109153e-09,7.853911032338016e-09
374,11,31800707,31800708,8.721,1.9010782799232997e-09,7.853911032338016e-09
375,11,31800708,31800709,8.721,1.9010782799232997e-09,7.853911032338016e-09
376,11,31800709,31800710,2.237,0.005794286964268809,0.00715290929817641
377,11,31800710,31800711,6.282,5.223961889991197e-07,9.670521853479848e-07
378,11,31800711,31800712,8.827,1.4893610777109153e-09,7.853911032338016e-09
379,11,31800712,31800713,-3.169,0.000677641507610675,0.0009069583418788707
380,11,31800713,31800714,8.721,1.9010782799232997e-09,7.853911032338016e-09
381,11,31800714,31800715,6.282,5.223961889991197e-07,9.670521853479848e-07
383,11,31800716,31800717,8.721,1.9010782799232997e-09,7.853911032338016e-09
