query_gene,ortholog_species,ortholog_id,ortholog_type,percent_id
ERG,bos_grunniens,ENSBGRG00000003442,ortholog_one2one,95.2675
ERG,chinchilla_lanigera,ENSCLAG00000005608,ortholog_one2one,94.856
ERG,tupaia_belangeri,ENSTBEG00000011265,ortholog_one2one,62.9787
ERG,procavia_capensis,ENSPCAG00000004227,ortholog_one2one,97.6793
ERG,camelus_dromedarius,ENSCDRG00005007389,ortholog_one2one,95.679
ERG,dipodomys_ordii,ENSDORG00000009281,ortholog_one2one,96.4059
ERG,equus_caballus,ENSECAG00000010667,ortholog_one2one,96.5021
ERG,moschus_moschiferus,ENSMMSG00000019738,ortholog_one2one,95.0617
ERG,mus_spicilegus,ENSMSIG00000015868,ortholog_one2one,95.0617
ERG,rhinolophus_ferrumequinum,ENSRFEG00010003217,ortholog_one2one,96.2963
ERG,nannospalax_galili,ENSNGAG00000019090,ortholog_one2one,95.4733
ERG,cervus_hanglu_yarkandensis,ENSCHYG00000008261,ortholog_one2one,94.0816
ERG,ursus_maritimus,ENSUMAG00000000447,ortholog_one2one,95.4733
ERG,ictidomys_tridecemlineatus,ENSSTOG00000025814,ortholog_one2one,96.9136
ERG,microtus_ochrogaster,ENSMOCG00000016605,ortholog_one2one,94.8665
ERG,sorex_araneus,ENSSARG00000009138,ortholog_one2one,55.8621
ERG,propithecus_coquereli,ENSPCOG00000018128,ortholog_one2one,95.679
ERG,sus_scrofa,ENSSSCG00000022318,ortholog_one2one,94.4558
ERG,monodelphis_domestica,ENSMODG00000020980,ortholog_one2one,91.0042
ERG,mus_caroli,MGP_CAROLIEiJ_G0020995,ortholog_one2one,95.0617
ERG,vicugna_pacos,ENSVPAG00000002060,ortholog_one2one,66.6667
ERG,panthera_tigris_altaica,ENSPTIG00000019250,ortholog_one2one,95.0617
ERG,mustela_putorius_furo,ENSMPUG00000008474,ortholog_one2one,97.286
ERG,bos_indicus_hybrid,ENSBIXG00005016083,ortholog_one2one,95.2675
ERG,marmota_marmota_marmota,ENSMMMG00000003632,ortholog_one2one,96.9136
ERG,rhinopithecus_bieti,ENSRBIG00000042898,ortholog_one2one,97.9424
ERG,cebus_imitator,ENSCCAG00000028041,ortholog_one2one,97.9424
ERG,saimiri_boliviensis_boliviensis,ENSSBOG00000026628,ortholog_one2one,97.5309
ERG,chlorocebus_sabaeus,ENSCSAG00000008463,ortholog_one2one,100
ERG,physeter_catodon,ENSPCTG00005006052,ortholog_one2many,89.7436
ERG,physeter_catodon,ENSPCTG00005005745,ortholog_one2many,95.2675
ERG,heterocephalus_glaber_female,ENSHGLG00000017640,ortholog_one2one,89.9606
ERG,equus_asinus,ENSEASG00005006076,ortholog_one2one,96.5021
ERG,peromyscus_maniculatus_bairdii,ENSPEMG00000008582,ortholog_one2one,96.2963
ERG,cavia_porcellus,ENSCPOG00000007484,ortholog_one2one,94.4444
ERG,neovison_vison,ENSNVIG00000016660,ortholog_one2one,95.2675
ERG,aotus_nancymaae,ENSANAG00000027714,ortholog_one2one,97.9424
ERG,callorhinchus_milii,ENSCMIG00000003220,ortholog_one2one,73.9216
ERG,latimeria_chalumnae,ENSLACG00000003340,ortholog_one2one,86.7769
ERG,lepisosteus_oculatus,ENSLOCG00000004920,ortholog_one2one,84.9057
ERG,clupea_harengus,ENSCHAG00020010401,ortholog_one2one,78.1893
ERG,danio_rerio,ENSDARG00000077304,ortholog_one2one,65.9624
ERG,carassius_auratus,ENSCARG00000040878,ortholog_one2many,72.8051
ERG,carassius_auratus,ENSCARG00000002414,ortholog_one2many,75.9465
ERG,carassius_auratus,ENSCARG00000057250,ortholog_one2many,75.9465
ERG,astyanax_mexicanus,ENSAMXG00000008838,ortholog_one2one,77.1255
ERG,ictalurus_punctatus,ENSIPUG00015015128,ortholog_one2one,75.4455
ERG,electrophorus_electricus,ENSEEEG00000012446,ortholog_one2one,79.0909
ERG,esox_lucius,ENSELUG00000013480,ortholog_one2one,77.8
ERG,oncorhynchus_kisutch,ENSOKIG00005047415,ortholog_one2many,72.5047
ERG,oncorhynchus_kisutch,ENSOKIG00005042693,ortholog_one2many,76.7258
ERG,oncorhynchus_mykiss,ENSOMYG00000043702,ortholog_one2many,70.6204
ERG,oncorhynchus_mykiss,ENSOMYG00000014143,ortholog_one2many,76.5286
ERG,salmo_salar,ENSSSAG00000066099,ortholog_one2many,61.5385
ERG,salmo_salar,ENSSSAG00000006737,ortholog_one2many,76.7258
ERG,salmo_trutta,ENSSTUG00000029169,ortholog_one2many,77.3176
ERG,salmo_trutta,ENSSTUG00000017547,ortholog_one2many,77.0751
ERG,xenopus_tropicalis,ENSXETG00000023717,ortholog_one2one,76.0638
ERG,chrysemys_picta_bellii,ENSCPBG00000012403,ortholog_one2one,91.9753
ERG,crocodylus_porosus,ENSCPRG00005015767,ortholog_one2one,82.1691
ERG,sphenodon_punctatus,ENSSPUG00000000653,ortholog_one2one,88.5417
ERG,laticauda_laticaudata,ENSLLTG00000000638,ortholog_one2one,89.6694
ERG,notechis_scutatus,ENSNSUG00000017833,ortholog_one2one,91.7995
ERG,pseudonaja_textilis,ENSPTXG00000012344,ortholog_one2one,88.641
ERG,anas_platyrhynchos_platyrhynchos,ENSAPLG00000031160,ortholog_one2many,93.2099
ERG,anas_platyrhynchos_platyrhynchos,ENSAPLG00000015271,ortholog_one2many,93.2099
ERG,gallus_gallus,ENSGALG00010013330,ortholog_one2one,91.3131
ERG,serinus_canaria,ENSSCAG00000010759,ortholog_one2one,92.7984
ERG,meleagris_gallopavo,ENSMGAG00000014553,ortholog_one2one,89.3069
ERG,parus_major,ENSPMJG00000009699,ortholog_one2one,91.7695
ERG,erpetoichthys_calabaricus,ENSECRG00000007416,ortholog_one2one,84.8861
ERG,ficedula_albicollis,ENSFALG00000005094,ortholog_one2one,93.0041
ERG,pygocentrus_nattereri,ENSPNAG00000018042,ortholog_one2one,77.7328
ERG,taeniopygia_guttata,ENSTGUG00000004998,ortholog_one2one,92.7984
ERG,geospiza_fortis,ENSGFOG00000013965,ortholog_one2one,92.4757
ERG,anolis_carolinensis,ENSACAG00000009199,ortholog_one2one,90.224
ERG,aquila_chrysaetos_chrysaetos,ENSACCG00020006656,ortholog_one2one,94.9896
ERG,oncorhynchus_tshawytscha,ENSOTSG00005004219,ortholog_one2many,76.5286
ERG,oncorhynchus_tshawytscha,ENSOTSG00005032986,ortholog_one2many,76.7258
ERG,naja_naja,ENSNNAG00000015103,ortholog_one2one,88.6918
ERG,pelodiscus_sinensis,ENSPSIG00000008476,ortholog_one2one,91.5638
ERG,scleropages_formosus,ENSSFOG00015013330,ortholog_one2one,76.7892
ERG,gopherus_evgoodei,ENSGEVG00005002947,ortholog_one2one,90.2748
ERG,denticeps_clupeoides,ENSDCDG00010033100,ortholog_one2one,77.6892
ERG,cyprinus_carpio_carpio,ENSCCRG00000034863,ortholog_one2many,66.6667
ERG,cyprinus_carpio_carpio,ENSCCRG00000063457,ortholog_one2many,73.3333
ERG,chelonoidis_abingdonii,ENSCABG00000012926,ortholog_one2one,86.1111
ERG,salvator_merianae,ENSSMRG00000022995,ortholog_one2one,92.2756
ERG,terrapene_carolina_triunguis,ENSTMTG00000022067,ortholog_one2many,93.9457
ERG,terrapene_carolina_triunguis,ENSTMTG00000015909,ortholog_one2many,92.9864
ERG,anser_brachyrhynchus,ENSABRG00000007601,ortholog_one2one,93.0041
ERG,paramormyrops_kingsleyae,ENSPKIG00000014132,ortholog_one2one,85.3191
ERG,struthio_camelus_australis,ENSSCUG00000011922,ortholog_one2one,93.6214
ERG,hucho_hucho,ENSHHUG00000031645,ortholog_one2many,80.2469
ERG,hucho_hucho,ENSHHUG00000035161,ortholog_one2many,76.7258
ERG,coturnix_japonica,ENSCJPG00005007939,ortholog_one2one,93.1959
ERG,podarcis_muralis,ENSPMRG00000021074,ortholog_one2one,90.535
ERG,strigops_habroptila,ENSSHBG00005017966,ortholog_one2one,89.0756
ERG,leptobrachium_leishanense,ENSLLEG00000005244,ortholog_one2one,88.6364
